,LF1,LF2,LF3,LF4,LF5,LF6,LF7,LF8,LF9,LF10
ABL1,0.0041505975755044,7.25505914475678e-05,0.00168812478505233,0.000132570071288935,0.104877901872614,0.157735816736152,0.0561823951969071,0.197192088101649,0.000756389727495214,0.00262542809075939
ABL2,0.11500869681307,1.66913859534352e-05,0.112691316378886,0.000676112132412974,0.020676743929946,0.0233286308387502,0.15908249314347,0.23901051635581,3.58855115717552e-05,0.0502515516764995
ACAA1,0.191279915970571,0.000157157978906737,0.00347228693494233,0.000283683614944049,0.0125734687371012,0.00481302736148574,0.0211813976501591,0.0849736832374069,0.000886856089034146,0.0176142269689229
ACACA,0.18833608865916,9.33905866574609e-06,0.0624545525760508,2.63640383661816e-05,0.0163761925293515,0.108553682413821,0.105009981260667,0.328184120103006,4.09463738138833e-06,0.00560654883099394
ACACB,0.0939678671901854,7.46569888412161e-05,0.00771826914834026,0.000162666835614645,0.00511164944977516,0.234758111223811,0.252528213755661,0.11675101837108,1.54066613630108e-06,0.108187494333326
ACADM,0.00146356640392136,1.0841892006779e-05,0.000506300742904329,0.000480130619444262,0.209465334713187,0.196875815273667,0.0167785065734072,0.164346574380418,0.000435058244907015,0.137413407527156
ACADS,0.161899513187526,1.94283958278413e-05,0.00258199943975576,5.74048059699927e-05,0.0842542891428012,0.18530978248099,0.0728002161718702,0.00332316604811036,0.000192112934547368,0.0381821935633511
ACADSB,0.782757764965255,3.76430232766922e-06,0.0193925866508119,0.00024833467958175,0.00374641619640173,0.135403430670986,0.014143992178773,0.255249780011991,0.000263535426611714,0.0634160615091588
ACADVL,0.116662633753165,6.88118283498091e-05,0.0191168860287024,7.12571289023139e-05,0.00449633160434505,0.190880169313956,0.0116415040212327,0.186009131771053,0.000194531064574152,0.0667726939551703
ACAT1,0.140665128049632,1.7054609737888e-05,0.00314227197110797,0.000217517685630662,0.023262547825796,0.0150187598003069,0.0112625009999971,0.022924934757525,8.45455596485862e-05,0.140250596026778
ACAT2,0.0388589599043065,5.42695747554085e-05,0.00586421330436145,0.000238613451147486,0.215966402995237,0.101453020318155,0.213984515563975,0.0321793242905248,6.22890730312813e-06,0.111598929709108
ASIC1,0.186523881652072,0.000140481651270127,0.19484110257518,0.000331304863554224,0.289157870163226,0.00580780603826679,0.0275200178943439,0.040290879772782,2.03378725622848e-05,0.00917738179211247
ACHE,0.0991511720185144,4.89398015184284e-05,0.390347095792303,0.000186243238052199,0.177737679007842,0.019358709073066,0.151532404151394,0.094905194017358,0.000265941216603034,0.0273985354250774
ACLY,0.105310702263974,6.85039140471322e-05,0.00164142724065347,0.000208484120920143,0.00282348103647832,0.165466939565921,0.0763390135958811,0.314412921669956,7.15417459764458e-05,0.0880108942707571
ACO1,0.0153925970077121,5.929074286553e-05,0.000751235649946991,0.000104693812474928,0.00647830239994184,0.165714005878226,0.175263261831546,0.0444906953474604,9.08603670377983e-05,0.100212027094402
ACO2,0.0271885763950963,0.000123917572069815,0.00993610686545256,0.000302621110343108,0.176898422703528,0.059293251343802,0.141280646920095,0.073910824417861,0.00023903678272539,0.222552579287371
ACOX1,0.00334905951144801,6.96136002803597e-05,0.00889518359032637,0.000175618437332421,0.0156352968740833,0.0153688667254423,0.0346003410775556,0.0514716236183888,9.3162190223031e-05,0.0641287846019616
ACP1,0.010142177566017,1.13640718733999e-05,0.00253683646706434,0.000201965575364731,0.0301864589728521,0.00685386894149809,0.154038079710574,0.0318881798299216,0.000277738632654856,0.0151747712933029
ACP2,0.0601202409076069,2.2212781377302e-06,0.12265793239256,0.000129403669090605,0.00479244392256993,0.0137081384643523,0.000774145300163625,0.0136379583591124,0.000376792781615684,0.145058407898799
ACP5,0.256682310334684,1.81535862795284e-05,0.275473841843843,0.000310654276513567,0.0104847768608258,0.0445386957994829,0.0329244399683769,0.0678031782299393,0.000501718299565608,0.160178047522555
ACPP,0.0671007262339868,4.62118643816051e-05,9.35531671709434e-05,0.000118887706655455,0.000427604896249074,0.322113957116174,0.032659067859291,0.0681399373572288,5.72823685930573e-05,0.0403188229254176
ACRV1,0.102963815244291,3.51606720717144e-05,0.000943680278159895,5.19726616334579e-05,0.00612589546504303,0.0153967451959735,0.101832409467677,0.0190999012329461,0.000490251956119598,0.0297489946890772
ACTA1,0.252416628402738,3.4397310607297e-06,0.0672556008683255,1.9161449088806e-05,0.220483598046444,0.000734779268876496,0.00176486868831876,0.208385373954396,7.47384976809673e-05,0.000285654924175536
ACTA2,0.0850638686832198,1.6112432399587e-05,0.218294003534786,1.17598006898543e-05,0.52161506440321,0.0339674565800568,0.711631865038429,0.344283584981449,7.69089945403628e-07,0.0569877502433656
ACTB,0.209845521642412,5.25361197505026e-05,0.101323134561039,0.000430766415359266,0.148279954385507,0.130489711378549,0.0931802398430538,0.229570346832021,0.000385129457516294,0.00492810966735687
ACTBP2,0.0785981598860695,0.000155955436066812,0.000584259912772944,0.00035509342509369,0.00216462096162996,0.0260727038695959,0.00479885578512622,0.00193977758051997,0.00103697739812708,0.0501043895107578
ACTG1,0.00501127843723598,7.34993498486123e-05,0.000462056783939359,0.000161795924766709,0.237740962674535,0.0604775350467268,0.125541135110558,0.00214576429846572,1.85049180921975e-05,0.0787286391289056
ACTG2,0.686194978943958,3.89514009517313e-06,0.313090336054426,0.000105951007566776,0.0552442537420376,0.154624892021805,0.142340411010473,0.115312915288518,5.96335279458852e-05,0.0849822965627727
ACTG1P1,0.073883494473974,9.0422257048731e-05,0.00177112120647527,0.000756411617476593,0.00399166484278532,0.0834781658967102,0.0502017465848892,0.179261193332872,0.000232200511906426,0.030174449887913
ACTL6A,0.160085977729526,7.8805626325053e-05,0.00322273290858373,0.000126311023077389,0.0105477306194969,0.0254714384608857,0.272965421795244,0.140750300845119,0.000597037614779382,0.00685878400487284
ACTN1,0.338089820227108,2.2258689278167e-05,0.196728485226417,0.000228285346448907,0.314577800160074,0.0323923768948689,0.173702410752102,0.00269768415956064,0.000304313334586228,0.0512396621892326
ACVR1,0.00224964856788714,6.58452482967576e-05,0.000197192961433058,3.47906723662683e-05,0.09993560003347,0.0940932390195645,0.278390737007012,0.177629105918002,0.000711255579942874,0.0807202986684494
