,LF1,LF2,LF3,LF4,LF5,LF6,LF7,LF8,LF9,LF10
AARS2,0.0116140158540422,0.0119915131074452,-0.00189277304085328,-0.279410535164443,-0.171697891744073,-0.0681316037149336,-0.000602057435534554,-0.00553273306612484,0.0314224711253002,0.000908601132239032
AARSD1,-0.147695028297213,-0.0673651157425364,0.000962357937242822,-0.0571294291766866,-0.00961205619473144,-0.0125638200323467,-0.00116415050300504,-0.00340158286425011,0.0182773365840468,-0.000599283028645828
AASDHPPT,0.00184650154004463,-0.201680187250385,0.0023376073196568,-0.174669281583024,-0.00805740091054234,0.0889894738836073,0.000611579713870488,0.00298943855030788,0.0880832818391635,0.000157242352708769
AASS,0.00132996943895596,-0.520647335429435,0.00445891571402123,0.207642987089427,-0.0705462075226526,-0.115251732185214,-0.00419903977780685,-0.00270343183555472,0.188782108802326,0.000612814226671146
AATF,0.166241455971694,-0.013900011199303,-0.00115295778731862,-0.332709851125692,0.0174281111001061,0.016547208227872,-0.000557998165975546,0.0279502167044946,-0.0342287067551375,0.000606724615447579
ABAT,-0.648456897168493,-0.299629797099345,-0.00242817537040575,0.198896198765051,0.00281616905966941,-0.129139556595957,-0.00234441923033984,0.00475819923517157,0.0782093424725963,0.000453201207968374
ABCB6,-0.0305490483188012,0.358338754044751,0.0102728661888463,0.166991394082003,-0.213281022821644,0.0833459485340343,0.00349765156076522,-0.00338874623208333,0.227056329341495,-3.30997270199056e-05
ABCB7,-0.0795348891884457,0.489748306738571,-0.00159546797534916,0.0476272573588807,-0.10753413604179,-0.00562619117906601,0.00187178976608305,0.0285746079714208,0.0741772652481676,-0.00044880376434509
ABCC1,0.165139590918718,0.423322874291807,0.00260318335319808,0.206501702249165,-0.0821314358525352,-0.0122828139453643,0.00324650228829332,0.0067290646046491,0.400928360673299,-0.00031350464656629
ABCD3,-0.28397634852542,0.86053146467189,0.0497659414833426,0.188381664879946,-0.0145202791568782,0.0136791769758927,0.000647507763354421,-0.0223927664318697,0.35866701638113,9.28193468198358e-05
ABCE1,0.0973481516776044,0.0974277635940556,-0.00271182508656548,-0.278405762068206,0.113214300455786,0.0216375650551228,-0.00403057027431056,0.0177512671328573,-0.00334831087979878,-0.000727584012928895
ABCF1,0.132066805856082,0.117434848491261,-0.000506911211039707,-0.0814156798555701,0.0135281976411844,0.0604968830461931,-0.00537862300886155,-0.0223842217754627,0.00835126099562179,-0.000476909312004126
ABCF2,0.154142459761763,0.0845297953817112,-0.097257887450731,-0.118598812155808,0.0732837132444828,0.0774808899988298,0.00125875821128306,0.0195838519216449,-0.00432529846861706,0.00137528714039557
ABCF3,-0.00545763124559352,0.19275132076684,-0.00175189768289735,-0.128208574544889,0.0351796070229396,0.0256693668354607,0.00369690553912826,0.00915074510631629,-0.0136602268423264,-0.00209211871469258
ABHD10,-0.0571075658813554,-0.262278925679142,-0.00612669190973413,-0.278623949794323,-0.315739792754964,-0.0663913753760948,0.000613710639874103,-0.00303921852328455,-0.0111968965304206,-0.000714416993447946
ABHD11,-0.166459266765522,-0.00892564007031671,0.00277151702290666,-0.141988007472899,-0.0958849477408114,0.210048903417771,-0.00225275747942096,-0.014178457495408,0.0828365254540178,0.000259690610515157
ABHD12,-0.114207374865181,0.302300869604122,-0.00448163557350269,0.246862469492192,-0.104421093204818,0.0221235139026672,0.00151950062478276,0.00390320460101816,0.199663471198393,-0.000791861766720606
ABHD14B,-0.317488869847518,-0.494302424048887,-0.000286544780159795,-0.0684511454091268,-0.123945491064826,-0.0350052230154294,-0.0027883401531883,-0.0119923439787669,-0.0742342082148091,0.000198332895312122
ABHD16A,0.00967195303410855,0.153982108240027,0.00500379252334211,-0.00471466085966674,-0.120028538455683,0.0694977196238125,-0.000161246266713514,0.0271072058701129,0.373176890265127,0.00134793164643307
ABHD4,-0.107221237062644,-0.12593033165455,-0.00443491913308055,0.140170027735746,-0.0309975681996872,0.191428978216061,0.00382932981157923,-0.00668674594783068,0.0101534660445644,-0.000568285588666617
ABHD5,0.0405412476949876,-0.804148477762066,-0.0061206709424204,0.0316990702057262,-0.000775312686542871,-0.0419660928184323,0.00328558145551342,0.01560309063023,0.0235340199442944,0.000228856981183412
ABI1,0.0545974023572538,-0.0549689338148471,0.0660705235723224,-0.140886638267594,-0.0110954274899839,0.00722773284098091,-0.00434107313012437,-0.0184092876703435,-0.0368860979358756,-0.00134163880133062
